draft_id,team_id,win
1,8,1
2,7,1
3,7,0
4,7,0
5,1,1
6,2,1
7,2,0
8,1,1
9,3,0
10,3,0
11,4,1
12,5,1
13,6,1
14,6,0
15,6,0
16,6,1
17,1,1
18,2,1
19,2,0
20,3,0
21,6,1
22,7,0
23,4,1
24,5,1
25,8,0
26,5,0
27,1,0
28,5,1
29,1,1
30,6,1
31,2,0
32,7,1
33,3,1
34,7,1
35,8,0
36,8,0
37,2,0
38,5,1
39,8,0
40,3,1
41,7,0
42,6,1
43,1,0
44,4,1
45,1,0
46,8,1
47,5,0
48,3,1
49,7,0
50,2,0
51,7,0
52,6,0
53,6,0
54,1,0
55,1,0
56,2,0
57,4,1
58,8,0
59,5,1
60,5,0
61,3,0
62,6,1
63,7,0
64,6,1
65,7,1
66,2,0
67,8,1
68,1,0
69,3,1
70,4,1
71,5,1
72,4,1
73,5,0
74,2,1
75,2,0
76,1,0
77,6,1
78,7,0
79,3,1
80,8,0
81,8,0
82,8,1
83,1,1
84,7,0
85,4,1
86,2,1
87,3,1
88,6,1
89,7,0
90,1,0
91,2,0
92,6,1
93,4,1
94,6,1
95,3,0
96,4,1
97,2,0
98,5,0
99,3,1
100,8,1
101,4,0
102,6,1
103,4,1
104,8,1
105,3,1
106,3,0
107,1,0
108,2,1
109,1,1
110,7,0
111,5,1
112,7,1
113,2,0
114,2,0
115,1,0
116,1,0
117,7,0
118,7,0
119,5,0
120,5,0
121,6,0
122,4,1
123,4,0
124,6,1
125,4,1
126,6,1
127,5,0
128,6,1
129,5,1
130,3,1
131,3,0
132,3,0
133,4,1
134,4,0
135,6,1
136,6,0
137,4,1
138,5,1
139,8,0
140,8,0
141,2,0
142,3,1
143,2,1
144,3,1
145,3,0
146,3,0
147,6,1
148,5,0
149,5,0
150,4,1
151,7,0
152,8,0
153,8,1
154,8,1
155,2,0
156,1,0
157,1,1
158,2,0
159,4,1
160,4,1
161,3,0
162,6,0
163,5,0
164,5,1
165,5,1
166,5,0
167,2,0
168,1,0
169,1,1
170,6,1
171,3,0
172,4,1
173,7,0
174,8,0
175,5,1
176,8,1
177,5,1
178,1,0
179,5,0
180,2,0
181,6,1
182,3,0
183,7,0
184,3,0
185,4,1
186,4,1
187,5,1
188,2,0
189,3,1
190,8,0
191,6,1
192,7,0
193,4,1
194,1,0
195,8,1
196,1,0
197,3,1
198,5,0
199,2,1
200,7,1
201,2,1
202,4,1
203,4,1
204,7,1
205,7,1
206,4,1
207,2,0
208,5,1
209,8,0
210,8,1
211,6,1
212,3,0
213,6,1
214,7,0
215,6,0
216,8,1
217,2,0
218,3,1
219,1,0
220,5,0
221,4,0
222,5,0
223,2,1
224,5,0
225,5,1
226,6,1
227,1,0
228,3,1
229,7,0
230,4,1
231,4,1
232,5,0
233,3,0
234,6,1
235,2,0
236,1,0
237,5,0
238,4,0
239,8,1
240,5,1
241,8,1
242,3,0
243,7,0
244,2,0
245,4,1
246,2,0
247,4,1
248,3,1
249,5,0
250,6,0
251,6,1
252,4,0
253,6,0
254,3,0
255,8,0
256,8,1
257,2,1
258,1,0
259,2,0
260,5,1
261,7,0
262,5,0
263,3,1
264,3,1
265,8,1
266,8,1
267,6,1
268,6,1
269,4,1
270,4,1
271,4,1
272,6,0
273,6,1
274,4,0
275,6,0
276,5,0
277,6,1
278,5,0
279,3,0
280,5,0
281,5,1
282,5,1
283,6,0
284,6,1
285,4,0
286,4,1
287,6,0
288,8,0
289,5,1
290,5,1
291,3,1
292,2,0
293,3,0
294,2,0
295,6,1
296,6,1
297,3,0
298,4,1
299,4,1
300,5,0
